,country,article_name,revision_id,article_quality,Geography,Population mid-2018 (millions)
20211,Czech Republic,Martin Mejstřík,783737915,Stub,,
20217,Pitcairn Islands,Martin Williams (diplomat),783746509,Stub,,
20254,Montserratian,Mary Rose Tuitt,783821985,Stub,,
20282,Incan,María Sumire,783850857,Stub,,
20319,Chechen,Movladi Udugov,783907075,Stub,,
20366,Hondura,Matías Funes,784048015,Stub,,
20368,Jersey,Dean of Jersey,784051930,Stub,,
20406,Czech Republic,Vlastimil Tusar,784145485,Stub,,
20415,Chechen,Doku Zavgayev,784167327,Stub,,
20419,"Congo, Dem. Rep. of",Emile Mota,784182810,Stub,,
20424,Saint Kitts and Nevis,Mark Brantley,784208810,Stub,,
20478,Palestinian Territory,Emil Ghuri,784373796,Stub,,
20487,Ivorian,Ernest Boka,784395089,Stub,,
20494,Samoan,Le Mamea Ropati,784413731,Stub,,
20504,Faroese,Erlendur Patursson,784440060,Stub,,
20515,Jersey,"Alexander Coutanche, Baron Coutanche",784462137,Stub,,
20525,Salvadoran,Pío Romero Bosque,784506431,Stub,,
20543,Rhodesian,Allan Ross Welsh,784562559,Stub,,
20588,Palestinian Territory,Ali Jarbawi,784662302,Stub,,
20608,Cook Island,Frederick Tutu Goodwin,784686871,Stub,,
20613,Guernsey,Geoffrey Rowland,784691815,Stub,,
20615,Cape Colony,George Cathcart,784693349,Stub,,
20629,Saint Vincent and the Grenadines,Henry Harvey Williams,784724223,Stub,,
20635,Cape Colony,Henry Torrens,784726341,Stub,,
20653,Rhodesian,John Moore Caldicott,784757829,Stub,,
20654,Rhodesian,John Ralph Beaumont,784758963,Stub,,
20659,Cape Colony,Frederick Schermbrucker,784765242,Stub,,
20665,Rhodesian,Leonard Ray Morgan,784769027,Stub,,
20667,Guernsey,List of Bailiffs of Guernsey,784770354,Stub,,
20678,Saint Vincent and the Grenadines,Monica Dacon,784784479,Stub,,
20683,Cook Island,Ngamau Munokoa,784786128,Stub,,
20698,Rhodesian,Raleigh Grey,784826325,Stub,,
20702,Czech Republic,Petr Bendl,784826685,Stub,,
20703,Czech Republic,Petr Gandalovič,784826720,Stub,,
20705,Cape Colony,Richard Solomon (Attorney General),784829553,Stub,,
20706,Rhodesian,Robert Clarkson Tredgold,784830601,Stub,,
20708,Rhodesian,Robert James Hudson,784831407,Stub,,
20719,Jersey,Terry Le Sueur,784849252,Stub,,
20723,Montserratian,Tony Longrigg,784856577,Stub,,
20724,Cape Colony,Walter Hely-Hutchinson,784862369,Stub,,
20728,Rhodesian,William Harper (Rhodesian politician),784870217,Stub,,
20733,Montserratian,Deborah Barnes-Jones,784875662,Stub,,
20759,Czech Republic,Tomáš Vandas,784968648,Stub,,
20765,Rhodesian,Rowan Cronjé,784974615,Stub,,
20769,Palestinian Territory,Jamal al-Jamal,784977752,Stub,,
20814,Czech Republic,Robert Mayr-Harting,785085345,Stub,,
20821,Saint Lucian,Marie Grace Augustin,785101569,Stub,,
20858,Dagestani,Aziz Aliyev,785202362,Stub,,
20889,Salvadoran,Alfonso Quiñónez Molina,785229840,Stub,,
20929,South Korean,Lee Hae-chan,785317852,Stub,,
20970,Czech Republic,Karel Havlíček Borovský,785407597,Stub,,
21016,Pitcairn Islands,David Aubrey Scott,785508390,Stub,,
21021,Dagestani,Mukhu Aliyev,785532389,Stub,,
21038,Samoan,Tui Manuʻa Elisala,785553682,Stub,,
21043,Cape Colony,Henry White (Cape Treasurer General),785566972,Stub,,
21073,Swaziland,Ntfombi of Swaziland,785654533,Stub,,
21197,Palestinian Territory,Jamal al-Husayni,785938135,Stub,,
21198,Palestinian Territory,Musa al-Husayni,785938199,Stub,,
21199,Palestinian Territory,Salim al-Husayni,785938222,Stub,,
21242,Salvadoran,Jorge Meléndez,786063735,Stub,,
21254,Salvadoran,Carmen Elena Figueroa,786068145,Stub,,
21287,Cape Colony,Jacobus Wilhelmus Sauer,786142993,Stub,,
21300,Czech Republic,Jan Černý,786162238,Stub,,
21302,Hondura,María Antonieta de Bográn,786165176,Stub,,
21308,Jersey,Don Filleul,786175308,Stub,,
21317,Abkhazia,Zakan Jugelia,786203824,Stub,,
21326,Chechen,Head of the Chechen Republic,786231010,Stub,,
21387,Tokelauan,Guy Powles,786375181,Stub,,
21389,French Guiana,Paulin Brune,786385007,Stub,,
21401,Czech Republic,Josef Frank (politician),786399604,Stub,,
21445,Salvadoran,Felipe Codallos,786492357,Stub,,
21446,Salvadoran,Tomás Regalado (Salvadoran politician),786492366,Stub,,
21481,"Congo, Dem. Rep. of",Lambert Mende Omalanga,786579616,Stub,,
21493,Rhodesian,Edgar Whitehead,786601705,Stub,,
21498,Czech Republic,Philip Kinsky of Wchinitz and Tettau,786612217,Stub,,
21506,Cook Island,Henry Puna,786648340,Stub,,
21511,Rhodesian,Henry Hamilton Beamish,786659504,Stub,,
21544,"Congo, Dem. Rep. of",Justine Kasa-Vubu,786751925,Stub,,
21551,Samoan,Mata'afa,786776338,Stub,,
21564,Cape Colony,Charles Lennox Stretch,786803200,Stub,,
21618,"Congo, Dem. Rep. of",Cléophas Kamitatu,786874201,Stub,,
21658,Cape Colony,John Tengo Jabavu,786916027,Stub,,
21690,Cape Colony,Philip John Stigant,786972727,Stub,,
21706,Palauan,Kuniwo Nakamura,786992351,Stub,,
21723,Jersey,Augustus Asplet Le Gros,787012860,Stub,,
21741,Jersey,Philippe Langlois,787046159,Stub,,
21742,Cook Island,Moana Ioane,787050138,Stub,,
21774,Rhodesian,Lionel Cripps,787105083,Stub,,
21782,Martinique,Étienne Mentor,787128336,Stub,,
21793,Rhodesian,A. R. Colquhoun,787147677,Stub,,
21810,Chechen,Mairbek Sheripov,787163671,Stub,,
21835,Palestinian Territory,Mustafa Barghouti,787198183,Stub,,
21860,Cook Island,Marguerite Story,787227714,Stub,,
21929,Ivorian,François Amichia,787310676,Stub,,
21954,Guadeloupe,Ernest Moutoussamy,787332894,Stub,,
22048,"Congo, Dem. Rep. of",Jean Nguza Karl-i-Bond,787378464,Start,,
22063,Palestinian Territory,Abdel Hafiz Nofal,787385830,Start,,
22160,Greenlandic,Agnethe Davidsen,787423025,Start,,
22172,Ivorian,Aboubakar Diaby Ouattara,787437447,Start,,
22180,Palestinian Territory,Zaki al-Ghul,787447130,Start,,
22183,Palestinian Territory,Oslo I Accord,787453135,Start,,
22235,Samoan,Polataivao Fosi,787519332,Start,,
22262,Cape Colony,Henry Pottinger,787552653,Start,,
22276,"Congo, Dem. Rep. of",Adam Bombolé,787602247,Start,,
22279,South African Republic,Transvaal Civil War,787611475,Start,,
22320,Guadeloupe,Gerty Archimede,787680195,Start,,
22324,Palestinian Territory,Adly Yaish,787691185,Start,,
22340,"Congo, Dem. Rep. of",Adolphe Lumanu,787715913,Start,,
22341,"Congo, Dem. Rep. of",Adolphe Muzito cabinet,787716080,Start,,
22394,"Congo, Dem. Rep. of",Justin Marie Bomboko,787797355,Start,,
22429,Rhodesian,John McChlery,787854502,Start,,
22518,Omani,"Salim bin Thuwaini, Sultan of Muscat and Oman",787929352,Start,,
22523,Czech Republic,Luboš Dobrovský,787952395,Start,,
22526,Czech Republic,Bedřich Moldan,787952868,Start,,
22529,Guernsey,Diane Lewis (Guernsey legislator),787954113,Start,,
22530,Guernsey,Wendy Morgan (politician),787954138,Start,,
22533,Jersey,Sarah Craig Ferguson,787955357,Start,,
22534,Jersey,Wendy Kinnard,787955613,Start,,
22536,Jersey,Iris Le Feuvre,787956265,Start,,
22537,Jersey,Judy Martin (politician),787956300,Start,,
22538,Jersey,Kristina Moore,787956364,Start,,
22539,Jersey,Susan Pinel,787956392,Start,,
22540,Jersey,Shona Pitman,787956492,Start,,
22541,Jersey,Anne Pryke,787956513,Start,,
22542,Jersey,Corrie Stein,787956597,Start,,
22544,Jersey,Tracey Vallois,787957954,Start,,
22554,Saint Kitts and Nevis,Attorney General of Saint Kitts and Nevis,787971501,Start,,
22557,Saint Vincent and the Grenadines,Camillo Gonsalves,787976333,Start,,
22563,"Congo, Dem. Rep. of",Christian Atoki Ileka,787978838,Start,,
22610,Palestinian Territory,Intissar al-Wazir,788004334,Start,,
22642,Czech Republic,Martin Palouš,788015952,Start,,
22646,East Timorese,Milena Pires,788017619,Start,,
22656,Palestinian Territory,Muhammad Abu Tir,788019130,Start,,
22668,Palestinian Territory,"Palestinian general election, 1996",788023506,Start,,
22671,"Congo, Dem. Rep. of",Paul Joseph Mukungubila Mutombo,788024194,Start,,
22680,Palestinian Territory,Protocol Concerning the Redeployment in Hebron,788026998,Start,,
22709,"Congo, Dem. Rep. of",Ferdinand Essandja,788054013,Start,,
22722,Ivorian,Youssouf Bakayoko,788065543,Start,,
22745,Cape Colony,Thomas Charles Scanlen,788098639,Start,,
22760,Czech Republic,Hermann Zwierzina,788121309,Start,,
22815,Palestinian Territory,Yousef al-Khalidi,788159128,Start,,
22840,Czech Republic,Eduard Zeman,788178766,Start,,
22867,Palestinian Territory,List of mayors of Nablus,788189214,Start,,
22912,Saint Kitts and Nevis,Clement Arrindell,788231533,Start,,
22923,Guadeloupe,Médard Albrand,788239179,Start,,
22924,Cook Island,Apenera Short,788240713,Start,,
22949,Salvadoran,Doroteo Vasconcelos,788264133,Start,,
22961,Martinique,Henry Lémery,788271645,Start,,
23025,Pitcairn Islands,Harold Smedley,788318957,Stub,,
23029,Ivorian,Chantal Compaoré,788330706,Stub,,
23045,Cape Colony,Saul Solomon,788361321,Stub,,
23092,Czech Republic,Richard Bienert,788410657,Stub,,
23104,Ivorian,Désiré Tagro,788421683,Stub,,
23126,Palestinian Territory,Khalil al-Hayya,788437086,Stub,,
23136,Guernsey,Peter de Havilland,788446515,Stub,,
23137,Salvadoran,Alfredo Cristiani,788447923,Stub,,
23141,East Timorese,Alfredo Pires,788450147,Stub,,
23154,Ivorian,Mamadou Koulibaly,788462808,Stub,,
23161,"Congo, Dem. Rep. of",Martin Kabwelulu,788465848,Stub,,
23225,Ivorian,Pascal Affi N'Guessan,788498433,Stub,,
23227,Cook Island,Mana Strickland,788499686,Stub,,
23234,Palestinian Territory,President of the Palestinian National Authority,788509815,Stub,,
23284,Palauan,Tommy Remengesau,788566799,Stub,,
23285,Palauan,Thomas Remengesau Sr.,788566961,Stub,,
23288,Palauan,Ngiratkel Etpison,788567219,Stub,,
23307,Palestinian Territory,Fathi Ahmad Hammad,788591724,Stub,,
23343,Samoan,Tony Tuimavave,788649434,Stub,,
23371,Saint Vincent and the Grenadines,Alphonso Theodore Roberts,788672768,Stub,,
23429,Cape Colony,Thomas Upington,788717893,Stub,,
23485,Saint Lucian,Alvina Reynolds,788727127,Stub,,
23874,Martinique,Alfred Almont,788793894,Stub,,
23957,French Guiana,Thierry Robert,788799439,Stub,,
24072,Martinique,Louis-Joseph Manscour,788807319,Stub,,
24081,French Guiana,Juliana Rimane,788807577,Stub,,
24082,Guadeloupe,Joël Beaugendre,788807612,Stub,,
24145,Guadeloupe,Hélène Vainqueur-Christophe,788810121,Stub,,
24166,Guadeloupe,Gabrielle Louis-Carabin,788814960,Stub,,
24215,Guadeloupe,Daniel Marsin,788815849,Stub,,
24236,Ivorian,Étienne Djaument,788825623,Stub,,
24247,Ivorian,Victor Biaka Boda,788825785,Stub,,
24248,Martinique,Thélus Léro,788825794,Stub,,
24254,Martinique,Raphaël Etifier,788825979,Stub,,
24262,Guadeloupe,Pierre Monnerville,788826068,Stub,,
24265,Martinique,Paul Symphor,788827072,Stub,,
24290,Guadeloupe,Lucius-Duquesnes Gustave,788827709,Stub,,
24291,Guadeloupe,Lucien Bernier,788827724,Stub,,
24294,Ivorian,Loubo Augustin Djessou,788827789,Stub,,
24296,French Guiana,Jules Patient,788827828,Stub,,
24313,Omani,Rahila Al Riyami,788828342,Stub,,
24318,French Guiana,Gaston Monnerville,788828507,Stub,,
24324,French Guiana,Eugénie Éboué-Tell,788828649,Stub,,
24329,Guadeloupe,Clovis Renaison,788828762,Stub,,
24331,French Guiana,Christiane Taubira,788828802,Stub,,
24354,French Guiana,Léopold Héder,788830652,Stub,,
24390,French Guiana,Léon Bertrand,788837401,Stub,,
24956,Cook Island,William (Smiley) Heather,788897273,Stub,,
24957,Cook Island,Rose Toki-Brown,788897549,Stub,,
24959,Cook Island,Teina Bishop,788898457,Stub,,
24962,Cook Island,Pumati Israela,788899523,Stub,,
25217,Palestinian Territory,Abdullah Rimawi,788953220,Stub,,
25550,Montserratian,William Henry Bramble,788976365,Stub,,
25556,Palestinian Territory,Yahya Hammuda,788988278,Stub,,
25580,French Guiana,Justin Catayée,789009266,Stub,,
25597,Faroese,Niels Winther Poulsen,789029085,Stub,,
25602,Abkhazia,Raul Eshba,789039267,Stub,,
25619,Carniolan,Andrej Einspieler,789072979,Stub,,
25647,Czech Republic,Václav Hampl,789102318,Stub,,
25655,Cape Colony,Andries Stockenström (judge),789120101,Stub,,
25764,Palestinian Territory,Hani al-Hassan,789228790,Stub,,
25786,Cape Colony,Robert Wynyard,789258720,Stub,,
25825,Carniolan,Ivan Lorković,789263095,Stub,,
26089,Carniolan,Janko Kersnik,789273199,Stub,,
26708,Faroese,Bjørt Samuelsen,789306157,Stub,,
26763,Faroese,Jenis av Rana,789307497,Stub,,
26764,Faroese,Heðin Mortensen,789307569,Stub,,
26765,Faroese,Rasmus Effersøe,789307632,Stub,,
26770,Faroese,Trygvi Samuelsen,789308387,Stub,,
26771,Faroese,Eilif Samuelsen,789308554,Stub,,
26830,Faroese,Jógvan Skorheim,789310556,Stub,,
26946,Chechen,Alu Alkhanov,789327678,Stub,,
26956,Chechen,Adam Delimkhanov,789328171,Stub,,
26957,Ossetian,Alexander Dzasokhov,789328182,Stub,,
26988,Dagestani,Magomedali Magomedov,789329935,Stub,,
27058,French Guiana,Gabriel Serville,789340739,Stub,,
27246,"Congo, Dem. Rep. of",Antipas Mbusa,789437538,Stub,,
27294,Ivorian,Aké Loba,789476691,Stub,,
27301,"Congo, Dem. Rep. of",Laurent Mbariko,789487250,Stub,,
27344,Rhodesian,Jeremiah Chirau,789545107,Stub,,
27353,Czech Republic,Miroslav Grebeníček,789546047,Stub,,
27354,Czech Republic,Vlasta Štěpová,789546066,Stub,,
27355,Czech Republic,Egon Lánský,789546079,Stub,,
27356,Czech Republic,Antonín Prachař,789546102,Stub,,
27357,Czech Republic,Milan Horálek,789546147,Stub,,
27407,Hondura,Orle Solís,789599196,Stub,,
27408,Hondura,Sergio Arturo Castellanos,789599235,Stub,,
27409,Hondura,Hipólita Rodríguez,789599241,Stub,,
27410,Hondura,German Leitzelar,789599248,Stub,,
27411,Hondura,Marco Antonio Andino,789599260,Stub,,
27412,Hondura,Lisandro Mauricio Arias,789599265,Stub,,
27413,Hondura,José Azcona Bocock,789599272,Stub,,
27414,Hondura,Yadira Bendaña,789599288,Stub,,
27415,Hondura,José Rosario Bonano,789599294,Stub,,
27416,Hondura,Romualdo Bueso Melghem,789599300,Stub,,
27417,Hondura,Teófilo Enamorado,789599316,Stub,,
27418,Hondura,Gabo Alfredo Jalil,789599319,Stub,,
27419,Hondura,Eleazar Alexander Juárez,789599323,Stub,,
27420,Hondura,Carlos Alfredo Lara Watson,789599331,Stub,,
27421,Hondura,Wenceslao Lara Orellana,789599336,Stub,,
27422,Hondura,Maria Aracely Leiva,789599343,Stub,,
27423,Hondura,Fredy Renán Nájera,789599348,Stub,,
27424,Hondura,Waldina Paz,789599355,Stub,,
27425,Hondura,Jesús Dagoberto Perdomo,789599360,Stub,,
27426,Hondura,Modesto Rodas Alvarado,789599369,Stub,,
27427,Hondura,Erick Mauricio Rodríguez,789599374,Stub,,
27428,Hondura,Víctor Rolando Sabillón,789599381,Stub,,
27429,Hondura,Dennis Antonio Sánchez,789599388,Stub,,
27430,Hondura,Elman Joel Sandoval,789599393,Stub,,
27431,Hondura,Mario Edgardo Segura,789599398,Stub,,
27432,Hondura,Perla Simons,789599401,Stub,,
27433,Hondura,Felipe Zúniga del Cid,789599406,Stub,,
27434,Hondura,Juan Francisco Argeñal,789599415,Stub,,
27435,Hondura,Nasry Asfura,789599418,Stub,,
27436,Hondura,Yaudet Burbara,789599427,Stub,,
27437,Hondura,Oscar Orlando Burgos,789599429,Stub,,
27438,Hondura,Wilfredo Bustillo Castellanos,789599434,Stub,,
27439,Hondura,Victoria Carrasco,789599444,Stub,,
27440,Hondura,Gladys Bernarda Casco,789599449,Stub,,
27441,Hondura,Rigoberto Chang Castillo,789599455,Stub,,
27442,Hondura,María Teresa Chávez,789599463,Stub,,
27443,Hondura,Alberto Chedrani,789599476,Stub,,
27444,Hondura,Celín Discua,789599485,Stub,,
27445,Hondura,Martha Concepción Figueroa,789599488,Stub,,
27446,Hondura,Brenda Mercedes Flores,789599496,Stub,,
27447,Hondura,Julio César Gámez Interiano,789599506,Stub,,
27448,Hondura,Roberto Gámez Panchamé,789599509,Stub,,
27449,Hondura,Miguel Ángel Gámez,789599513,Stub,,
27450,Hondura,Lorena Enriqueta Herrera,789599522,Stub,,
27451,Hondura,Rodolfo Irias Navas,789599528,Stub,,
27452,Hondura,Abraham Kafati Díaz,789599532,Stub,,
27453,Hondura,Juan Fernando Lobo,789599542,Stub,,
27454,Hondura,Miguel Edgardo Martínez,789599547,Stub,,
27455,Hondura,Eliseo Noel Mejía,789599561,Stub,,
27456,Hondura,Oscar Ramón Nájera,789599562,Stub,,
27457,Hondura,Claudio Roberto Perdomo,789599568,Stub,,
27458,Hondura,Mario Alonso Pérez López,789599570,Stub,,
27459,Hondura,Milton Jesús Puerto,789599575,Stub,,
27460,Hondura,Oswaldo Ramos Soto,789599581,Stub,,
27461,Hondura,Donaldo Ernesto Reyes,789599586,Stub,,
27462,Hondura,Antonio Rivera Callejas,789599589,Stub,,
27463,Hondura,José Juan Rivera Ramos,789599594,Stub,,
27464,Hondura,Salvador Valeriano Pineda,789599607,Stub,,
27465,Hondura,Welsy Vásquez,789599609,Stub,,
27466,Hondura,José Rodolfo Zelaya,789599615,Stub,,
27467,Hondura,Yessenia Coely Zelaya,789599618,Stub,,
27468,Hondura,Adela Elizabeth Zúñiga,789599620,Stub,,
27469,Hondura,Ramón Villeda Bermúdez,789600726,Stub,,
27470,Hondura,Jorge Aguilar Paredes,789600760,Stub,,
27471,Hondura,Andrés Pavón,789600953,Stub,,
27472,Hondura,Marvin Ponce,789600975,Stub,,
27473,Hondura,Jorge Elvir,789601015,Stub,,
27474,Hondura,Rodolfo Padilla Sunseri,789601536,Stub,,
27584,Cape Colony,"John de Villiers, 1st Baron de Villiers",789675927,Stub,,
27585,Carniolan,Ivan Šusteršič,789681987,Stub,,
27588,Rhodesian,Winston Field,789689591,Stub,,
27595,Faroese,Louis Zachariasen,789708924,Stub,,
27663,Jersey,"Sir Philip Carteret, 1st Baronet",789753704,Stub,,
27664,Jersey,"Sir Philip Carteret, 2nd Baronet",789753711,Stub,,
27671,Saint Vincent and the Grenadines,Arnhim Eustace,789761357,Stub,,
27672,Omani,List of rulers of Oman,789761641,Stub,,
27693,Saint Lucian,Arsene James,789789654,Stub,,
27790,Abkhazia,Bagrat Shinkuba,789818648,Stub,,
27791,Abkhazia,Samson Chanba,789818730,Stub,,
27826,Martinique,Alfred Marie-Jeanne,789854706,Stub,,
27850,"Congo, Dem. Rep. of",Union of Congolese Patriots,789898887,Stub,,
27866,Montserratian,John Kemys Spencer-Churchill,789918293,Stub,,
27882,Guernsey,Gavin St Pier,789938377,Stub,,
27883,French Guiana,Rodolphe Alexandre,789939904,Stub,,
27884,French Guiana,Georges Othily,789940008,Stub,,
27894,Chechen,Aslambek Aslakhanov,789949907,Stub,,
27897,South Ossetian,Aslanbek Bulatsev,789950396,Stub,,
27963,Palauan,Raynold Oilouch,789983618,Stub,,
28148,Rhodesian,Howard Unwin Moffat,790010191,Start,,
28162,Swaziland,Bheki Dlamini,790010530,Start,,
28163,Swaziland,Bhekimpi Dlamini,790010540,Start,,
28164,Swaziland,Jameson Mbilini Dlamini,790010556,Start,,
28165,Swaziland,Lutfo Dlamini,790010558,Start,,
28166,Swaziland,Mabandla Dlamini,790010563,Start,,
28167,Swaziland,Makhosini Dlamini,790010573,Start,,
28168,Swaziland,Mphiwa Dlamini,790010577,Start,,
28169,Swaziland,Obed Dlamini,790010578,Start,,
28170,Swaziland,Paul Dlamini,790010579,Start,,
28171,Swaziland,Themba Dlamini,790010705,Start,,
28172,Swaziland,Njabulo Mabuza,790010716,Start,,
28173,Swaziland,Charles Myeza,790010723,Start,,
28174,Swaziland,Sishayi Nxumalo,790010729,Start,,
28175,Swaziland,Paul Shabangu,790010732,Start,,
28176,Swaziland,Trusty Gina,790010783,Start,,
28177,Swaziland,Marwick Khumalo,790010820,Start,,
28178,Palauan,Lazarus Salii,790011394,Start,,
28234,Swaziland,Prince Sozisa Dlamini,790090661,Start,,
28258,Guadeloupe,Albertine Baclet,790100830,Start,,
28373,South Korean,Yu Myung-hwan,790178486,Start,,
28374,South Korean,Yoon Young-kwan,790178940,Start,,
28375,South Korean,Yoon Jeung-hyun,790179508,Start,,
28377,South Korean,Suh Sang-chul,790180349,Start,,
28407,Carniolan,Philipp von Cobenzl,790213148,Start,,
28436,Ivorian,Aya Virginie Toure,790279945,Start,,
28484,"Congo, Dem. Rep. of",Azarias Ruberwa,790305725,Start,,
28525,Czech Republic,Antonín Novotný,790372008,Start,,
28549,Palauan,Ngedikes Olai Uludong,790410665,Start,,
28566,Hondura,Mireya Agüero,790412309,Start,,
28567,Hondura,María Dolores Agüero,790412332,Start,,
28578,Saint Lucian,Sarah Flood-Beaubrun,790422420,Start,,
28589,Palauan,Sandra Pierantozzi,790423026,Start,,
28632,South Korean,Bak Maeng-woo,790471224,Start,,
28639,Jersey,"Henry Carteret, 1st Baron Carteret",790484914,Start,,
28694,"Congo, Dem. Rep. of",Banyingela Kasonga,790586686,Start,,
28717,Czech Republic,Zuzana Brzobohatá,790608148,Start,,
28718,Czech Republic,Alena Palečková,790608180,Start,,
28719,Czech Republic,Zuzana Roithová,790608186,Start,,
28746,Montserratian,Reuben Meade,790614135,Start,,
28755,Swaziland,Andreas Fakudze,790636139,Start,,
28765,Tokelauan,Salesio Lui,790644183,Start,,
28766,Tokelauan,Kuresa Nasau,790644216,Start,,
28769,Tokelauan,Patuki Isaako,790644404,Start,,
28772,Tokelauan,Kolouei O'Brien,790647368,Start,,
28805,Palestinian Territory,Bashir Barghouti,790695172,Start,,
28835,Palestinian Territory,Bassam as-Salhi,790721748,Start,,
28842,"Congo, Dem. Rep. of",Anicet Kashamura,790738130,Start,,
28893,Czech Republic,"List of MPs elected in the Czech legislative election, 2017",790838510,Start,,
28940,Pitcairn Islands,List of high commissioners of the United Kingdom to New Zealand,790881651,Start,,
28973,"Congo, Dem. Rep. of",Sophie Kanza,790942655,Start,,
29048,"Congo, Dem. Rep. of",Bertrand Bisimwa,791074307,Start,,
29106,Guernsey,Francis Weston,791169532,Start,,
29116,Ivorian,Bernard Zadi Zaourou,791177695,Start,,
29200,Pitcairn Islands,Betty Christian,791265995,Start,,
29290,Czech Republic,Martin Jahn,791374581,Start,,
29294,South Korean,Lee Wan-koo,791389950,Start,,
29496,Guadeloupe,Jacques Cornano,791685556,Start,,
29497,Guadeloupe,Jacques Gillot,791685684,Start,,
29498,French Guiana,Antoine Karam,791685731,Start,,
29500,French Guiana,Georges Patient,791685933,Start,,
29569,Chechen,Ruslan Khasbulatov,791803238,Start,,
29574,Salvadoran,Óscar Osorio,791821555,Start,,
29654,Palestinian Territory,Khalida Jarrar,791881528,Start,,
29657,Samoan,Tuimaleali'ifano,791884820,Start,,
29679,Hondura,Rosa Elena Bonilla,791906998,Start,,
29680,Hondura,Xiomara Castro,791907048,Start,,
29681,Salvadoran,Lourdes Rodríguez de Flores,791907279,Start,,
29682,Salvadoran,Álvaro Magaña,791907345,Start,,
29686,Salvadoran,Salvador Castaneda Castro,791911972,Start,,
29722,Montserratian,Wilfred Bennett Davidson-Houston,791981452,Start,,
29735,Somaliland,List of Presidents of Somaliland,792010538,Start,,
29745,"Congo, Dem. Rep. of",Charles Kisolokele,792037043,Start,,
29746,South Korean,Kim Chang-ryong,792037093,Start,,
29762,Hondura,Eduardo Gauggel Medina,792070727,Start,,
29841,Cape Colony,Philip Edmond Wodehouse,792178662,Start,,
29956,Salvadoran,Julio Adalberto Rivera Carballo,792385744,Start,,
29984,Saint Kitts and Nevis,Tapley Seaton,792406694,Start,,
29992,Czech Republic,Pavel Rychetský,792417439,Start,,
29994,Guernsey,Richard Collas,792424069,Start,,
30016,Czech Republic,Gustáv Slamečka,792476721,Stub,,
30060,Jersey,Frank Walker (Jersey politician),792567273,Stub,,
30076,Faroese,Annika Olsen,792595685,Stub,,
30084,Palestinian Territory,Kamel al-Budeiri,792611747,Stub,,
30087,Palestinian Territory,Zuheir Mohsen,792615206,Stub,,
30261,Dagestani,Magomedsalam Magomedov,792949749,Stub,,
30290,French Guiana,Élie Castor,793002652,Stub,,
30295,South African Republic,"Heroes' Acre, Pretoria",793010122,Stub,,
30329,Czech Republic,Edvard Kožušník,793087579,Stub,,
30349,Samoan,Dave Solomon (rugby),793129536,Stub,,
30411,Hondura,Carlos Escaleras,793178396,Stub,,
30414,Hondura,Carlos Gabriel Kattán,793179072,Stub,,
30421,Hondura,Carlos Ramón Aguilar Guifarro,793183704,Stub,,
30424,Salvadoran,Carlos Salazar Castro,793184472,Stub,,
30462,Jersey,Carolyn Labey,793221391,Stub,,
30491,East Timorese,Mário Viegas Carrascalão,793270640,Stub,,
30494,Faroese,Páll á Reynatúgvu,793276089,Stub,,
30495,Faroese,Atli Dam,793277402,Stub,,
30498,Guadeloupe,Thomas Dundas (British Army officer),793286976,Stub,,
30501,Samoan,Va'ai Kolone,793294077,Stub,,
30547,Guadeloupe,Maurice Satineau,793353218,Stub,,
30549,Faroese,Henrik Old,793353435,Stub,,
30552,Guernsey,Victor Carey,793355768,Stub,,
30582,Faroese,Marita Petersen,793394960,Stub,,
30591,Jersey,Cecil Stanley Harrison,793405839,Stub,,
30644,"Congo, Dem. Rep. of",Antoine Ghonda,793411567,Stub,,
30653,Swaziland,Ndumiso Mamba,793428048,Stub,,
30675,East Timorese,José Abílio Osório Soares,793454583,Stub,,
30771,French Guiana,Chantal Berthelot,793613477,Stub,,
30789,Salvadoran,Maximiliano Hernández Martínez,793642670,Stub,,
30790,Czech Republic,Jan Masaryk,793642926,Stub,,
30791,Cape Colony,Charles Aken Fairbridge,793643575,Stub,,
30826,Ivorian,Charles Konan Banny,793682835,Stub,,
30850,Palestinian Territory,Abdel-Razak al-Yehiyeh,793718428,Stub,,
30950,Montserratian,Elizabeth Carriere,793896767,Stub,,
30970,Samoan,Tamaseu Leni Warren,793926721,Stub,,
31042,Salvadoran,Reynaldo Galindo Pohl,794052085,Start,,
31059,Guadeloupe,Raymond Guilliod,794067588,Start,,
31063,"Congo, Dem. Rep. of",Abdoulaye Yerodia Ndombasi,794072384,Start,,
31106,"Congo, Dem. Rep. of",Paul Bolya,794134715,Start,,
31113,Czech Republic,Jan Koukal,794146543,Start,,
31132,Palestinian Territory,Abu Ali Mustafa,794170874,Start,,
31133,Chechen,Sergey Abramov (politician),794171049,Start,,
31153,Cape Colony,William Howley Goodenough,794193433,Start,,
31154,Ivorian,Christine Adjobi,794194775,Start,,
31165,Samoan,Mata'afa Iosefo,794202189,Start,,
31238,Cape Colony,George Thomas Napier,794346758,Start,,
31304,Salvadoran,Ciro Cruz Zepeda,794459622,Start,,
31321,Palestinian Territory,Salah Khalaf,794482018,Start,,
31322,Hondura,José Alfredo Saavedra,794482135,Start,,
31358,Rhodesian,Ken Flower,794528943,Start,,
31380,Salvadoran,Ana Ligia Mixco Sol de Saca,794561394,Start,,
31414,South African Republic,"Clarens, Switzerland",794593079,Start,,
